"source_paper_id","source_paper_title","source_category","target_paper_id","target_paper_title","target_category","is_cross_category","weight"
"2608.12737","Dual-Manifold Geometry Guided Representation Learning: Adaptive Coupling between Kernel and Data Spaces","cs.CV","1409.1556","Very Deep Convolutional Networks for Large-Scale Image Recognition","cs.CV","False","1.0"
"2608.12971","Bias Mitigation in Face Recognition via Demographic-based Supervised Contrastive Learning","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.13217","UniCon-Former: Unified Convolution Transformer is All You Need for Hand Gesture Recognition","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.13147","Geometry-Grounded Unified 3D Perception for Autonomous Driving","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"1512.03385","Deep Residual Learning for Image Recognition","cs.CV","1409.1556","Very Deep Convolutional Networks for Large-Scale Image Recognition","cs.CV","False","1.0"
"2608.12714","Towards Sparsely Annotated Open-World Object Detection","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.13064","Learning Unified Video and Image Representation for Video Face Forgery Detection","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.12737","Dual-Manifold Geometry Guided Representation Learning: Adaptive Coupling between Kernel and Data Spaces","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.13463","MLLM-Routed Heterogeneous Ensembles for Robust Cross-Dataset Image Classification","cs.CL","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","True","0.9"
"2608.13455","Evaluation of Clinically Steerable Retinal Image Generation from Foundation Model Latent Spaces","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.13343","AmalthAI: An Open-Source Computer Vision Platform for Cultural Heritage","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.12725","A Generative Approach for Improving Multi-Label Defect Classification in Photovoltaic Modules","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2608.12841","AQuA: Recursively Self-Improving Quantitative Trading Research Agents","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.13502","GS$^{2}$CI: Robust Gaussian Splatting For Snapshot Compressive Imaging via Large Vision Model Priors","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"1706.03762","Attention Is All You Need","cs.CL","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","True","0.9"
"2608.12852","Falsehood and Impossibility Are Different Directions in an AI's Representation of Language","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.11822","Located but Not Releasable: Silent Gate Inversion and Bounded Linear Release","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.12756","ReconSpan: Reconstruction-Guided Adaptive Latent Tokenization","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.12737","Dual-Manifold Geometry Guided Representation Learning: Adaptive Coupling between Kernel and Data Spaces","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"2608.13045","P2Fusion: Prompt-based Progressive Infrared-Visible Image Fusion via Dual-Prior Distillation","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"2608.12018","Poly-Dialectal Neural Machine Translation System for Bangla Regional Dialects","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.12149","Massive Activations in Hybrid Linear Attention Large Language Models: Pre-Attention Spikes and Inter-Spike Plateaus","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.13555","HumanTracker: Towards Comprehensive and Human-Aligned Motion Tracking Benchmark","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"2608.13101","CASA: Content-Acoustic Speaking Assessment with Speech Encoder and Large Language Model","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.13043","From Local Mismatch to Global Impact: Optimizing Cache Reuse Policy for Efficient Diffusion","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"2608.13426","Reduced Matrix Multiplication: Input-Adaptive Matrix-Product Reduction for LLM Inference","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.13101","CASA: Content-Acoustic Speaking Assessment with Speech Encoder and Large Language Model","cs.CL","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","False","1.0"
"2608.12875","The Embedder's Dilemma: LLMs Are Better, but at What Cost?","cs.CL","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","False","1.0"
"2608.12980","DiCoR: Decoupled Referent Disambiguation and Contour Recalibration for Efficient Referring Remote Sensing Image Segmentation","cs.CV","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","True","0.9"
"2608.12776","ViTOED: A Dataset for Target-Oriented Emotion Detection on Vietnamese Social Media Texts","cs.CL","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","False","1.0"
"1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.13455","Evaluation of Clinically Steerable Retinal Image Generation from Foundation Model Latent Spaces","cs.CV","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","True","0.9"
"2608.12725","A Generative Approach for Improving Multi-Label Defect Classification in Photovoltaic Modules","cs.CV","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","True","0.9"
"2608.12737","Dual-Manifold Geometry Guided Representation Learning: Adaptive Coupling between Kernel and Data Spaces","cs.CV","1905.11946","EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","cs.CV","False","1.0"
"1905.11946","EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"1905.11946","EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","cs.CV","1703.06870","Mask R-CNN","cs.CV","False","1.0"
"2608.13343","AmalthAI: An Open-Source Computer Vision Platform for Cultural Heritage","cs.CV","1905.11946","EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","cs.CV","False","1.0"
"2608.13064","Learning Unified Video and Image Representation for Video Face Forgery Detection","cs.CV","1905.11946","EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","cs.CV","False","1.0"
"2608.12129","SAG: SQL-Retrieval Augmented Generation with Query-Time Dynamic Hyperedges","cs.CL","2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","False","1.0"
"2608.12121","QV-PIC: Query-Aware Visual Position-Independent Caching for Efficient RAG Serving","cs.CL","2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","False","1.0"
"2608.12875","The Embedder's Dilemma: LLMs Are Better, but at What Cost?","cs.CL","2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","False","1.0"
"2608.13006","EviReform: Evidence-Guided Query Reformulation for Multi-Hop Graph Retrieval","cs.CL","2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","False","1.0"
"2608.12720","ERSkill: Evolving for Skill-Guided Adaptive Memory Retrieval","cs.CL","2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","False","1.0"
"2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","False","1.0"
"2608.11879","Total Recall at What Cost? Benchmarking the Serving Cost of Agentic Memory Systems","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12218","Information Abundance Paradox: Long-Context Training Undermines Parametric Knowledge","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12875","The Embedder's Dilemma: LLMs Are Better, but at What Cost?","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.13010","RAGSieve: Self-Referenced Local Contrast for Knowledge-Poison Detection in Retrieval-Augmented Generation","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12847","Beyond Retrieval: Query-Conditioned Reuse of Long-Horizon Agent Trajectories","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12626","LLMs Are Not Good Strategists, Yet Memory-Enhanced Agency Boosts Reasoning","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","1706.03762","Attention Is All You Need","cs.CL","False","1.0"
"2608.11924","Spark-to-Paper: End-to-End Research Paper Generation as a Composable Skill","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","False","1.0"
"2608.13006","EviReform: Evidence-Guided Query Reformulation for Multi-Hop Graph Retrieval","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12888","When Your Agent Opens the Chat App: Agent-Controlled Search over Raw Chat Logs Rivals Structured Memory","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12720","ERSkill: Evolving for Skill-Guided Adaptive Memory Retrieval","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12627","EgoCITE: Context-Augmented Indexing and Time-Aware Retrieval for Long-Horizon Egocentric Memory","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.13160","Better Decomposition, Free Aggregation: A Synthesizer-Folding Framework for Multilingual Multi-Hop Question Answering","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","2004.04906","Dense Passage Retrieval for Open-Domain Question Answering","cs.CL","False","1.0"
"2608.12984","Reconcile Once, Write Anytime: A Trust-Tiered Librarian and a Multi-Agent Writer for Drift-Free, Point-in-Time Research","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.13334","RippleMem: From Isolated Retrieval to Associative Recollection for Long-Term Agent Memory","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","1810.04805","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","cs.CL","True","0.9"
"2608.12737","Dual-Manifold Geometry Guided Representation Learning: Adaptive Coupling between Kernel and Data Spaces","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2608.13141","MergeOver: Post-Training Token Merging for Recursive Vision Transformers","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2608.13556","V-RAE: Rethinking Video Latent Spaces for Generation","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2608.13463","MLLM-Routed Heterogeneous Ensembles for Robust Cross-Dataset Image Classification","cs.CL","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","True","0.9"
"2608.13455","Evaluation of Clinically Steerable Retinal Image Generation from Foundation Model Latent Spaces","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2608.12725","A Generative Approach for Improving Multi-Label Defect Classification in Photovoltaic Modules","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2608.13147","Geometry-Grounded Unified 3D Perception for Autonomous Driving","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2608.12737","Dual-Manifold Geometry Guided Representation Learning: Adaptive Coupling between Kernel and Data Spaces","cs.CV","2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","False","1.0"
"2608.13045","P2Fusion: Prompt-based Progressive Infrared-Visible Image Fusion via Dual-Prior Distillation","cs.CV","2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","False","1.0"
"2608.13141","MergeOver: Post-Training Token Merging for Recursive Vision Transformers","cs.CV","2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","False","1.0"
"2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","2010.11929","An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","cs.CV","False","1.0"
"2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","1703.06870","Mask R-CNN","cs.CV","False","1.0"
"2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","1512.03385","Deep Residual Learning for Image Recognition","cs.CV","False","1.0"
"2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","1706.03762","Attention Is All You Need","cs.CL","True","0.9"
"2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","1409.1556","Very Deep Convolutional Networks for Large-Scale Image Recognition","cs.CV","False","1.0"
"2608.12980","DiCoR: Decoupled Referent Disambiguation and Contour Recalibration for Efficient Referring Remote Sensing Image Segmentation","cs.CV","2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","False","1.0"
"2608.13368","Sign Language Video Synthesis via Loss-Guided Multi-Expert GANs","cs.CV","2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","False","1.0"
"2608.13147","Geometry-Grounded Unified 3D Perception for Autonomous Driving","cs.CV","2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","False","1.0"
"2103.14030","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","cs.CV","1905.11946","EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks","cs.CV","False","1.0"
"2608.12129","SAG: SQL-Retrieval Augmented Generation with Query-Time Dynamic Hyperedges","cs.CL","2005.11401","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","cs.CL","False","1.0"
"2608.12714","Towards Sparsely Annotated Open-World Object Detection","cs.CV","1703.06870","Mask R-CNN","cs.CV","False","1.0"
